chr	pos	Hypo.pos	EM.pos	Hyper.pos	max.p	mCstatus	meanDiff	DM.status	index	meanCov.test	meanCov.control
chr1	1062420	0	0.2667	0.7333	0.7333	1	0.3765	1	1618	40.25	20.5
chr1	1062554	0	0.0667	0.9333	0.9333	1	0.4305	1	1623	43.25	42
chr1	1062561	0	0.2	0.8	0.8	1	0.3441	1	1624	43.25	42
chr1	1062569	0	0.4333	0.5667	0.5667	1	0.3446	1	1625	43.25	42
chr1	1062709	0	0.4333	0.5667	0.5667	1	0.3567	1	1633	34.5	31.5
chr1	1063404	0	0	1	1	1	0.6428	1	1636	62.75	38.75
chr1	1088421	0	0.3667	0.6333	0.6333	1	0.6034	1	1753	56.25	46.5
chr1	1088436	0	0.1667	0.8333	0.8333	1	0.4796	1	1754	50.5	37.25
chr1	1088441	0	0.1333	0.8667	0.8667	1	0.6033	1	1755	32.25	25
chr1	1088650	0	0.2	0.8	0.8	1	0.5706	1	1756	20.5	20.5
chr1	1088675	0	0.5	0.5	0.5	1	0.5972	1	1757	20	19.75
chr1	1089002	0	0.3667	0.6333	0.6333	1	0.5849	1	1760	108.75	65
chr1	1089004	0	0.2333	0.7667	0.7667	1	0.576	1	1761	108.75	65
chr1	1089029	0	0.1667	0.8333	0.8333	1	0.576	1	1762	98.25	61.75
chr1	1089070	0	0.2333	0.7667	0.7667	1	0.6356	1	1763	64.75	42.75
chr1	1089074	0	0.0667	0.9333	0.9333	1	0.5503	1	1764	65.25	42.75
chr1	1089086	0	0.2	0.8	0.8	1	0.568	1	1765	66.75	42.75
chr1	1089108	0	0.3	0.7	0.7	1	0.5388	1	1766	58.75	38.5
chr1	1089194	0	0.4333	0.5667	0.5667	1	0.4867	1	1770	34.25	24.75
chr1	1089201	0	0.2333	0.7667	0.7667	1	0.4518	1	1771	32	23.5
chr1	1089251	0	0.1667	0.8333	0.8333	1	0.543	1	1772	82.25	46
chr1	1089264	0	0.3667	0.6333	0.6333	1	0.5866	1	1773	82.5	46.75
chr1	1089272	0	0.3	0.7	0.7	1	0.5287	1	1774	82.75	46.75
chr1	1089294	0	0.3333	0.6667	0.6667	1	0.5621	1	1775	81	45
chr1	1089898	0	0.4333	0.5667	0.5667	1	0.4809	1	1785	76.75	53.75
chr1	1089901	0	0.4667	0.5333	0.5333	1	0.5552	1	1786	76.75	53.75
chr1	1089925	0	0.4333	0.5667	0.5667	1	0.5051	1	1787	75.25	53
chr1	1089933	0	0.3667	0.6333	0.6333	1	0.4769	1	1788	71.75	50.5
chr1	1089940	0	0.2333	0.7667	0.7667	1	0.5375	1	1789	68.75	49.5
chr1	1090719	0.0333	0	0.9667	0.9667	1	0.3889	1	1790	126	83.75
chr1	1090729	0	0.0333	0.9667	0.9667	1	0.5316	1	1791	126	84
chr1	1090869	0.0333	0	0.9667	0.9667	1	0.5995	1	1792	52	52.75
chr1	1090910	0	0.0333	0.9667	0.9667	1	0.6115	1	1793	49	48.25
chr1	1091107	0	0.1333	0.8667	0.8667	1	0.5126	1	1795	84.75	70
chr1	1091165	0	0.2333	0.7667	0.7667	1	0.3696	1	1796	92.75	59.25
chr1	1091205	0	0.4	0.6	0.6	1	0.3757	1	1798	90.75	56.5
chr1	1091211	0.0333	0.3667	0.6	0.6	1	0.3543	1	1799	88.25	55.5
chr1	1131422	0	0.0333	0.9667	0.9667	1	0.6143	1	2002	15.75	10.75
chr1	1131676	0	0.5	0.5	0.5	1	0.5158	1	2007	36.5	43.75
chr1	1131686	0	0.4667	0.5333	0.5333	1	0.3843	1	2009	36.5	43.75
chr1	1133614	0.5	0.5	0	0.5	-1	-0.4516	-1	2024	24.25	11
chr1	1133622	0.5667	0.4333	0	0.5667	-1	-0.4158	-1	2025	24.5	12
chr1	1162876	0	0.2667	0.7333	0.7333	1	0.4597	1	2246	49	42.5
chr1	1162906	0.0333	0.3333	0.6333	0.6333	1	0.4918	1	2247	47.5	40.25
chr1	1165105	0	0.2333	0.7667	0.7667	1	0.3229	1	2275	66	51.75
chr1	1165248	0.0333	0.3667	0.6	0.6	1	0.302	1	2280	6.5	3.25
chr1	1215761	0	0.3	0.7	0.7	1	0.5802	1	2552	17	18.5
chr1	1216074	0.0333	0.3333	0.6333	0.6333	1	0.3422	1	2558	23.75	14.75
chr1	1216989	0	0.2667	0.7333	0.7333	1	0.6605	1	2562	8.75	21
chr1	1216998	0	0.3333	0.6667	0.6667	1	0.6759	1	2563	8.75	21
chr1	1217001	0	0.4667	0.5333	0.5333	1	0.589	1	2564	8.75	21
chr1	1217316	0.0667	0.2	0.7333	0.7333	1	0.4524	1	2565	42.25	45.25
chr1	1217350	0.0333	0.4333	0.5333	0.5333	1	0.404	1	2567	39	43
chr1	1352818	0	0.4	0.6	0.6	1	0.5521	1	3009	32	28.5
chr1	1352824	0	0.1	0.9	0.9	1	0.5759	1	3010	32.25	28.5
chr1	1352826	0	0.0333	0.9667	0.9667	1	0.604	1	3011	32.25	28.5
chr1	1352828	0	0.0667	0.9333	0.9333	1	0.5309	1	3012	32.25	28.5
chr1	1352842	0	0.1333	0.8667	0.8667	1	0.5952	1	3013	32	29
chr1	1352844	0	0.0667	0.9333	0.9333	1	0.5507	1	3014	32	28.75
chr1	1352850	0	0.1	0.9	0.9	1	0.4971	1	3015	31.5	28.75
chr1	1352852	0	0.1667	0.8333	0.8333	1	0.5255	1	3016	30.5	28.5
chr1	1352855	0	0.4	0.6	0.6	1	0.3624	1	3017	29.25	26.75
chr1	1353070	0	0.4667	0.5333	0.5333	1	0.458	1	3028	3.25	5.75
chr1	1353072	0	0.4333	0.5667	0.5667	1	0.3774	1	3029	3.25	5.75
chr1	1353099	0	0.3333	0.6667	0.6667	1	0.6655	1	3034	32.25	41
chr1	1353114	0	0.1333	0.8667	0.8667	1	0.4324	1	3035	32.25	40.75
chr1	1353120	0	0	1	1	1	0.478	1	3036	32.25	40.75
chr1	1353141	0	0	1	1	1	0.4224	1	3037	19	22.25
chr1	1353143	0	0.1333	0.8667	0.8667	1	0.5184	1	3038	18.5	21.5
chr1	1353148	0	0.1333	0.8667	0.8667	1	0.59	1	3039	11.25	13
chr1	1831132	0.0333	0.2667	0.7	0.7	1	0.5701	1	4051	42.25	47.75
chr1	1831139	0.0667	0.2	0.7333	0.7333	1	0.4978	1	4052	39.25	40.25
chr1	1831205	0	0.4	0.6	0.6	1	0.5472	1	4053	6	6.25
chr1	1864765	0.7333	0.2667	0	0.7333	-1	-0.5382	-1	4147	24	15
chr1	1940767	0	0.1	0.9	0.9	1	0.6417	1	4293	9	11.75
chr1	1940769	0	0.0667	0.9333	0.9333	1	0.6222	1	4294	8.75	11.75
chr1	1940780	0	0.0667	0.9333	0.9333	1	0.3381	1	4295	8	11
chr1	1940782	0	0.0667	0.9333	0.9333	1	0.5825	1	4296	8	11
chr1	1940967	0	0	1	1	1	0.6452	1	4301	22	37.75
chr1	1940971	0	0	1	1	1	0.5684	1	4302	21.5	37.25
chr1	1940986	0	0.0667	0.9333	0.9333	1	0.5284	1	4303	21.5	37.25
chr1	1940991	0	0	1	1	1	0.5009	1	4304	21.25	37.25
chr1	1940993	0	0	1	1	1	0.6208	1	4305	21	36.5
chr1	1940996	0	0.1	0.9	0.9	1	0.3566	1	4306	19	36.25
chr1	1941003	0	0.1667	0.8333	0.8333	1	0.3116	1	4307	17	35.5
chr1	1941012	0	0	1	1	1	0.5232	1	4309	14.5	33.5
chr1	1941022	0	0	1	1	1	0.4854	1	4310	20.75	37.75
chr1	1941032	0	0	1	1	1	0.511	1	4311	20.75	37.75
chr1	1941035	0	0.0667	0.9333	0.9333	1	0.3866	1	4312	20.75	37.75
chr1	1941061	0	0.0333	0.9667	0.9667	1	0.3473	1	4313	18.75	35.25
chr1	1941067	0.0667	0.0667	0.8667	0.8667	1	0.3083	1	4314	17.75	32.75
chr1	1941070	0	0.1	0.9	0.9	1	0.4705	1	4315	16.75	32
chr1	1949046	0.7333	0.2667	0	0.7333	-1	-0.3936	-1	4357	29.5	28.5
chr1	1949167	0.5667	0.4333	0	0.5667	-1	-0.3736	-1	4358	63	58.75
chr1	1951832	0.6667	0.3333	0	0.6667	-1	-0.3587	-1	4373	42.5	55
chr1	1966085	0	0.2	0.8	0.8	1	0.3923	1	4399	87.25	92.75
chr1	1966100	0	0.2333	0.7667	0.7667	1	0.3212	1	4400	87.5	93.5
chr1	1972863	0	0.0333	0.9667	0.9667	1	0.5704	1	4524	17.75	27.25
chr1	1972893	0	0	1	1	1	0.5395	1	4525	17.75	26.75
chr1	1972912	0	0	1	1	1	0.4661	1	4526	44.25	53.5
chr1	1972917	0	0	1	1	1	0.414	1	4527	29	32.25
chr1	1972932	0.0667	0.0333	0.9	0.9	1	0.4938	1	4528	29	32.25
chr1	1973023	0	0	1	1	1	0.4922	1	4529	38.25	37.75
chr1	1973045	0.0333	0.2333	0.7333	0.7333	1	0.4262	1	4530	38.5	38.25
chr1	2006602	0	0.4	0.6	0.6	1	0.4005	1	4618	25.25	36
chr1	2026513	0	0.3	0.7	0.7	1	0.4835	1	4664	25	33.5
chr1	2026522	0.0667	0.3333	0.6	0.6	1	0.4843	1	4665	25.25	33.5
chr1	2111590	0	0.4333	0.5667	0.5667	1	0.3886	1	4806	23.75	42
chr1	2112283	0	0.3	0.7	0.7	1	0.503	1	4814	9.75	7.75
chr1	2155382	0.8333	0.1667	0	0.8333	-1	-0.4424	-1	5081	24.75	40.5
chr1	2236722	0	0	1	1	1	0.5167	1	5303	8.75	12.25
chr1	2236724	0	0.4333	0.5667	0.5667	1	0.4554	1	5304	8	12
chr1	2243645	0.9	0.1	0	0.9	-1	-0.4489	-1	5338	43.5	42.25
chr1	2243649	1	0	0	1	-1	-0.417	-1	5339	43.5	42.25
chr1	2243673	0.8667	0.0667	0.0667	0.8667	-1	-0.4052	-1	5340	31.25	35.75
chr1	2243710	0.7333	0.2667	0	0.7333	-1	-0.4468	-1	5341	20	21
chr1	2243725	0.9333	0.0667	0	0.9333	-1	-0.4929	-1	5342	20	21
chr1	2243734	0.8667	0.1333	0	0.8667	-1	-0.442	-1	5343	19.5	21
chr1	2243741	0.8667	0.1333	0	0.8667	-1	-0.4324	-1	5344	18.75	20.25
chr1	2243744	0.9333	0.0667	0	0.9333	-1	-0.7672	-1	5345	12.5	10
chr1	2253450	0	0.2333	0.7667	0.7667	1	0.5486	1	5382	41.5	61
chr1	2260304	0.8667	0.1333	0	0.8667	-1	-0.547	-1	5399	28.5	23.25
chr1	2314274	0	0.3333	0.6667	0.6667	1	0.4924	1	5562	71.5	99.25
chr1	2364826	0	0.4	0.6	0.6	1	0.4744	1	5727	106.75	123
chr1	2364834	0	0.3667	0.6333	0.6333	1	0.4356	1	5728	99.75	110.5
chr1	2373065	0.7333	0.2667	0	0.7333	-1	-0.4574	-1	5760	15	21.75
chr1	2373081	0.9	0.1	0	0.9	-1	-0.7098	-1	5761	15	22
